iter	Passed	Remaining
180	4865	22015
181	4891	21984
182	4917	21955
183	4943	21923
184	4969	21892
185	4996	21866
186	5023	21839
187	5050	21813
188	5079	21795
189	5104	21761
190	5133	21743
191	5160	21715
192	5189	21699
193	5212	21656
194	5239	21631
195	5268	21610
196	5296	21591
197	5326	21576
198	5355	21555
199	5381	21526
200	5407	21495
201	5436	21478
202	5465	21457
203	5492	21431
204	5514	21384
205	5541	21358
206	5566	21325
207	5592	21294
208	5619	21267
209	5645	21236
210	5673	21215
211	5701	21193
212	5732	21180
213	5760	21156
214	5788	21134
215	5812	21097
216	5838	21067
217	5867	21049
218	5895	21024
219	5922	20997
220	5950	20976
221	5974	20938
222	5999	20905
223	6027	20879
224	6053	20851
225	6079	20820
226	6105	20789
227	6131	20759
228	6160	20742
229	6189	20722
230	6217	20699
231	6244	20672
232	6272	20648
233	6298	20619
234	6323	20585
235	6346	20546
236	6373	20518
237	6399	20487
238	6423	20453
239	6449	20423
240	6474	20390
241	6499	20356
242	6521	20316
243	6548	20290
244	6574	20260
245	6599	20227
246	6626	20201
247	6655	20179
248	6683	20156
249	6710	20131
250	6737	20104
251	6765	20083
252	6796	20066
253	6828	20054
254	6857	20034
255	6885	20011
256	6912	19982
257	6940	19959
258	6965	19929
259	6993	19905
260	7020	19878
261	7045	19846
262	7072	19820
263	7101	19797
264	7127	19768
265	7157	19750
266	7185	19726
267	7212	19700
268	7238	19670
269	7264	19640
270	7290	19610
271	7315	19578
272	7343	19555
273	7369	19527
274	7400	19510
275	7428	19485
276	7449	19443
277	7474	19412
278	7499	19379
279	7525	19351
280	7552	19323
281	7578	19294
282	7603	19264
283	7630	19237
284	7657	19210
285	7685	19186
286	7711	19157
287	7739	19132
288	7763	19101
289	7789	19070
290	7815	19042
291	7844	19020
292	7871	18994
293	7896	18961
294	7925	18940
295	7952	18914
296	7977	18883
297	8003	18854
298	8030	18827
299	8055	18795
300	8083	18772
301	8115	18755
302	8142	18730
303	8170	18707
304	8198	18680
305	8223	18651
306	8251	18625
307	8279	18602
308	8306	18575
309	8333	18547
310	8359	18519
311	8385	18490
312	8411	18462
313	8438	18436
314	8467	18412
315	8493	18385
316	8517	18352
317	8543	18323
318	8567	18288
319	8590	18255
320	8616	18225
321	8642	18197
322	8669	18170
323	8696	18144
324	8723	18119
325	8752	18096
326	8780	18072
327	8809	18048
328	8836	18021
329	8864	17997
330	8892	17973
331	8919	17947
332	8948	17923
333	8974	17894
334	9002	17870
335	9029	17844
336	9055	17815
337	9082	17788
338	9109	17761
339	9138	17738
340	9163	17708
341	9190	17681
342	9218	17656
343	9245	17631
344	9273	17606
345	9298	17576
346	9326	17550
347	9352	17522
348	9381	17499
349	9406	17469
350	9435	17445
351	9462	17419
352	9487	17389
353	9513	17361
354	9540	17334
355	9568	17309
356	9594	17280
357	9620	17253
358	9648	17227
359	9679	17207
360	9705	17179
361	9730	17148
362	9757	17121
363	9784	17095
364	9812	17071
365	9842	17049
366	9871	17026
367	9900	17003
368	9927	16976
369	9955	16951
370	9984	16927
371	10013	16904
372	10037	16873
373	10066	16849
374	10094	16824
375	10121	16797
376	10148	16770
377	10174	16742
378	10199	16711
379	10229	16690
380	10259	16668
381	10288	16645
382	10317	16621
383	10343	16592
384	10370	16566
385	10395	16536
386	10425	16514
387	10452	16486
388	10479	16460
389	10506	16432
390	10530	16402
391	10556	16372
392	10583	16346
393	10609	16317
394	10636	16291
395	10665	16267
396	10692	16240
397	10719	16214
398	10748	16189
399	10778	16168
400	10805	16140
401	10834	16117
402	10863	16093
